Year,Site,F10,F50,F90,F10L,F50L,F90L,F10U,F50U,F90U,First.male.flight,First.flight,Last.flight,Last_First,F90_F10,GrowthRate,N.aphids,N.flights,Synchrony,site.year,ppt.ONDJFM,ppt.AMJJAS,tmean.ONDJFM,tmean.AMJJAS,Prop.cropland,Edge.density,Prop.forestwetland,Longitude,Latitude
2018,DPAC,260.580899790621,262.18542519074,263.789950590858,260.088636280611,262.052704307985,263.477214620681,260.89900364161,262.319808532159,264.280819124198,264,264,285,21,3.20905080023738,0.342302400236549,13,2,1,DPAC_2018,0.507617998166399,1.04407849000248,0.0941165951577121,0.686666485285844,0.772643931059773,94.6034219965849,0.11637101210121,-85.15,40.25
2019,DPAC,261.942981176177,269.999874642127,278.056768108078,259.128511890498,269.282153015265,276.406854070239,263.61478608122,270.730854734366,280.807370659217,277,256,291,35,16.1137869319004,0.0681693133987741,10,4,0.27,DPAC_2019,0.426259719561497,0.713286870754923,-1.69798051133932,0.609514800471338,0.68613632196553,118.071313423029,0.135554180418042,-85.15,40.25
2005,East Lansing,206.797293124078,215.703569317454,224.60984551083,202.11981583185,214.62244978888,222.16002298774,209.143910760248,216.792826386549,229.454593265833,NA,175,273,98,17.8125523867515,0.061668073589423,10481,13,0.24,East Lansing_2005,0.200997595445405,-1.04162035108408,-0.24960901476153,1.24811550235726,0,NA,0,-84.5,42.69
2007,East Lansing,198.370376797466,220.550546713716,242.730716629966,179.905933494892,216.703836065418,234.959535074328,206.170301370231,224.353054126227,260.591214437776,NA,152,278,126,44.3603398324997,0.0247623394128477,30,8,0.09,East Lansing_2007,1.17027138403699,0.0367018762007077,0.389700765307486,0.30401929672737,0.111754603187283,168.756205845764,0.147062347725367,-84.5,42.69
2008,East Lansing,231.045136669414,254.119381310848,277.193625952282,212.045571018257,250.212109798061,269.11730906382,239.313145039662,258.044132716304,295.80105520689,284,221,284,63,46.1484892828687,0.0238028548381837,53,9,0.09,East Lansing_2008,0.128021548762862,0.48210206531074,0.214314250136193,-0.404886706918384,0.0917841594440228,170.582293794725,0.147581579262691,-84.5,42.69
2009,East Lansing,258.10140872607,264.256933055769,270.412457385468,254.334500401487,263.404269639139,268.575413233907,259.919471381043,265.120358243849,274.241927264359,268,219,282,63,12.3110486593976,0.0892260132984718,283,10,0.35,East Lansing_2009,-0.447520443349475,1.45193837515064,-0.42021147666217,-1.95690104562381,0.089188001757399,168.913135278878,0.143108199864201,-84.5,42.69
2010,East Lansing,244.282316804982,262.99550107955,281.708685354119,222.429370653443,256.698300491363,271.029239863052,255.075301036107,269.383781485812,303.420390608173,NA,246,274,28,37.4263685491368,0.0293500500845937,3,2,0.11,East Lansing_2010,-1.31413342923888,-0.345044883538017,0.255254221475749,1.48432490517821,0.129862837892035,267.266372543402,0.149251165935212,-84.5,42.69
2011,East Lansing,241.677282616743,272.872071684331,304.066860751919,205.946771416594,263.272912726529,287.150747365706,258.539905553424,282.175713055499,340.517006352947,287,161,287,126,62.3895781351768,0.0176065590477568,49,7,0.07,East Lansing_2011,-0.947301345644089,1.1488857320981,-0.411745149889648,-0.57823372830245,0.0920028876233256,256.189002845738,0.141734178230529,-84.5,42.69
2013,East Lansing,224.924073065596,231.085477167472,237.246881269348,223.568113287961,230.690824148279,236.286633788237,225.882584480982,231.482490492005,238.591452236756,NA,200,277,77,12.3228082037527,0.0891408657214281,54,7,0.35,East Lansing_2013,-0.572640280336366,1.27663635567705,0.145119355496809,-0.764365623540429,0.1043096632252,255.12328348517,0.141207072385383,-84.5,42.69
2014,East Lansing,219.811272947901,257.314326750329,294.817380552757,185.244537500519,249.905846041809,280.552398453406,234.441478969002,264.762073014875,330.048552085193,276,213,297,84,75.0061076048562,0.0146450179389197,15,9,0.05,East Lansing_2014,0.189119335525215,-0.371622287878209,-1.57431504948849,-1.6335552947649,0.0994511223916856,252.774117152734,0.141321660612589,-84.5,42.69
