Year,Site,F10,F50,F90,F10L,F50L,F90L,F10U,F50U,F90U,First.male.flight,First.flight,Last.flight,Last_First,F90_F10,GrowthRate,N.aphids,N.flights,Synchrony,site.year,ppt.ONDJFM,ppt.AMJJAS,tmean.ONDJFM,tmean.AMJJAS,Prop.cropland,Prop.forestwetland,Edge.density,Longitude,Latitude
2018,Nashua,208.655895903534,220.023914729117,231.391933554701,199.956698073134,218.166690253978,227.578297970083,212.498315320846,221.89035457253,240.220266270206,NA,145,271,126,22.7360376511666,0.04831386225934,474,12,0.19,Nashua_2018,0.466581208292943,2.14825642445703,-0.0926359730056061,-0.26334928809655,0.668229011482661,0.0774678554238958,109.879740839216,-92.57,42.93
2019,Nashua,216.34648843232,237.036304132282,257.726119832244,192.086361415098,229.395368567066,245.312260080923,229.043455966623,244.54556906418,281.692868754253,NA,137,263,126,41.3796313999246,0.0265460506592043,89,11,0.1,Nashua_2019,-0.0421234813776281,-0.454830230998976,-2.11387552614247,-0.288816581348971,0.70103825261855,0.0913341431550962,114.651141468782,-92.57,42.93
2005,NEPAC,227.253648192488,255.076422816287,282.899197440086,205.90844288905,250.570090939969,273.446201485039,236.825007581961,259.642042219947,304.184529218517,NA,175,308,133,55.645549247598,0.0197404070272353,120,14,0.07,NEPAC_2005,0.573502531284625,-1.82200868040389,0.185805671922372,1.09509092802662,0.108155804865751,0.0288552994969231,105.48107537014,-85.4,41.11
2006,NEPAC,195.752563689174,252.770645658783,309.788727628392,127.675200374001,223.829160339324,266.431893048043,239.137536400888,282.564942101682,380.367912577312,NA,160,293,133,114.036163939219,0.00963260910799428,179,15,0.03,NEPAC_2006,-0.893025503194044,0.188215187573917,0.625219484090546,-0.465304611696848,0.645398283090437,0.060251547215013,105.427682826907,-85.4,41.11
2007,NEPAC,174.969493442489,226.637828203232,278.306162963976,117.343348246683,212.197052196733,252.553510130075,201.421928102308,241.139917821294,336.420410949475,NA,138,299,161,103.336669521487,0.0106299709143735,282,20,0.04,NEPAC_2007,0.865239695729754,-0.0780388938519553,0.287290550417853,0.679015778772847,0.613056498303055,0.10313435815532,112.32109343358,-85.4,41.11
2008,NEPAC,164.908386933913,228.486757872436,292.06512881096,89.3006036226648,204.614745473038,252.097179668794,204.85983356921,252.797575441084,367.499668772283,NA,144,291,147,127.156741877047,0.00863867519084264,435,21,0.03,NEPAC_2008,2.06188120295439,-0.752647986120696,0.242116325931069,-0.630217913576806,0.651786783789179,0.10397284887203,107.272633926789,-85.4,41.11
2009,NEPAC,212.641413808919,257.183024345731,301.724634882544,161.97382443998,244.073202518736,279.258683364708,235.451507263702,269.678668574166,350.455172618034,NA,149,303,154,89.0832210736245,0.0123307821401498,457,22,0.04,NEPAC_2009,0.779572115027219,-0.267970806732721,-0.35992458177849,-1.85366035021937,0.639968057496507,0.104651627071272,107.008802003411,-85.4,41.11
2010,NEPAC,218.308995773563,224.943059725441,231.577123677318,211.089513236138,223.146173822466,228.294509145699,221.557065835393,226.722696245304,238.677652328475,NA,127,281,154,13.2681279037554,0.0827898102407383,615,17,0.14,NEPAC_2010,-0.835835820452112,-0.183036078498322,-0.0841562019856262,1.93600350498975,0.68774853030494,0.0884338150189657,160.652005332783,-85.4,41.11
2011,NEPAC,152.294934529456,243.392641713202,334.490348896949,44.6267785965309,205.559648640193,273.150266700243,212.624617703969,281.340359891373,435.41696358072,NA,133,294,161,182.195414367493,0.00602905290023382,253,18,0.02,NEPAC_2011,-1.33779365266157,0.0262541355957499,-0.459567787056648,0.227565120668988,0.702210558885209,0.0873451520117346,146.517837701555,-85.4,41.11
2012,NEPAC,-172.133238247911,208.999956567386,590.133151382684,-493.835942831829,-366.720928299821,-187.030863252065,570.678666622421,763.199386461743,928.819889552154,NA,139,279,140,762.266389630595,0.0014410523753172,110,10,0.11,NEPAC_2012,1.1396620304028,-2.21262021297525,1.69217538568825,1.01793124309814,0.676781682958414,0.0863825447211304,136.12731446995,-85.4,41.11
