Year,Site,F10,F50,F90,F10L,F50L,F90L,F10U,F50U,F90U,First.male.flight,First.flight,Last.flight,Last_First,F90_F10,GrowthRate,N.aphids,N.flights,Synchrony,site.year,ppt.ONDJFM,ppt.AMJJAS,tmean.ONDJFM,tmean.AMJJAS,Prop.cropland,Prop.forestwetland,Edge.density,Longitude,Latitude
2008,NEPAC,238.209276874946,248.981921346376,259.754565817807,233.809011182167,247.890404731455,257.272955253575,240.731474609554,250.079390056822,264.036538433114,NA,165,291,126,21.5452889428612,0.050984036199966,284,12,0.2,NEPAC_2008,2.06188120295439,-0.752647986120696,0.242116325931069,-0.630217913576806,0.651786783789179,0.10397284887203,107.272633926789,-85.4,41.11
2009,NEPAC,235.267773831715,274.776667807124,314.285561782533,192.406344825163,262.638042559518,292.99505014058,256.854811350244,287.213679751321,361.120873905851,NA,233,303,70,79.0177879508185,0.0139015001544381,47,9,0.05,NEPAC_2009,0.779572115027219,-0.267970806732721,-0.35992458177849,-1.85366035021937,0.639968057496507,0.104651627071272,107.008802003411,-85.4,41.11
2010,NEPAC,224.044647943868,248.791733129477,273.538818315087,200.424658516142,243.636686883364,263.603885579999,233.972188331436,253.852070810332,296.953096242437,NA,225,281,56,49.4941703712194,0.0221938418840611,22,6,0.08,NEPAC_2010,-0.835835820452112,-0.183036078498322,-0.0841562019856262,1.93600350498975,0.68774853030494,0.0884338150189657,160.652005332783,-85.4,41.11
2011,NEPAC,231.309375066579,252.569462536538,273.829550006496,225.209001478283,250.845943917421,269.857681385795,235.301461944308,254.263022823117,279.922557668564,NA,210,294,84,42.5201749399172,0.025833990404644,59,11,0.1,NEPAC_2011,-1.33779365266157,0.0262541355957499,-0.459567787056648,0.227565120668988,0.702210558885209,0.0873451520117346,146.517837701555,-85.4,41.11
2012,NEPAC,380.187928281495,387.29326850275,394.398608724005,373.756397693828,377.541629698755,381.690098389931,392.342662073811,397.110368726785,400.822512344561,NA,216,279,63,14.2106804425096,0.0772986062029631,41,6,0.12,NEPAC_2012,1.1396620304028,-2.21262021297525,1.69217538568825,1.01793124309814,0.676781682958414,0.0863825447211304,136.12731446995,-85.4,41.11
2013,NEPAC,230.702743327881,231.472091252083,232.241439176285,230.702640506006,231.472053317929,232.241335478639,230.702849654297,231.472127982487,232.241544848431,NA,235,235,0,1.5386958484043,0.713894037304912,2,1,1,NEPAC_2013,-1.07968584744075,1.31318315061984,-0.0698564058145343,-0.757139682258549,0.704410804120876,0.091310177280176,139.126050034953,-85.4,41.11
2015,NEPAC,226.500460053656,248.405279997259,270.310099940861,203.415865773306,242.794863730671,259.77630242889,236.797808009205,254.069694554272,293.244563472591,NA,212,268,56,43.8096398872056,0.0250736092382825,5,5,0.1,NEPAC_2015,-1.17438724601777,0.56830816014328,-1.19078302068625,-0.299410877521149,0.720798047282354,0.0923300826237924,133.464742891851,-85.4,41.11
2016,NEPAC,209.179232625793,242.527188471081,275.875144316369,168.92296695643,228.926142905626,253.655007480756,230.980247777142,256.362820465751,315.59941669804,NA,225,267,42,66.6959116905761,0.0164697619922762,2,2,0.06,NEPAC_2016,-0.854610462750288,0.341103086193349,1.23545028416324,0.443286105354679,0.719193701798013,0.0923071634025875,136.184615149536,-85.4,41.11
2017,NEPAC,232.061320989378,252.583444757283,273.105568525188,219.366675123514,249.703028817051,266.909485519246,238.177522346161,255.486858974279,285.775082450901,NA,209,293,84,41.0442475358096,0.0267629657589231,101,11,0.1,NEPAC_2017,0.281789694740601,1.20477277263812,1.20487912269244,-0.478186551666099,0.716844481624514,0.0915508291028271,133.487663163685,-85.4,41.11
2018,NEPAC,231.70198710103,232.429469729104,233.156952357178,231.701926490791,232.429448259416,233.156893865873,231.702045716206,232.429490455249,233.157011255598,NA,236,236,0,1.45496525614789,0.754977334860417,1,1,1,NEPAC_2018,0.116694839966407,1.14717287738899,0.0965406120197986,0.44995556433131,0.723342080836093,0.0932697706931918,135.970692612414,-85.4,41.11
